Date,USDCAD
2000-11-28,1.5362
2000-11-29,1.5435
2000-11-30,1.5362
2000-12-01,1.5464
2000-12-04,1.5428
2000-12-05,1.5427
2000-12-06,1.5284
2000-12-07,1.529
2000-12-08,1.5162
2000-12-11,1.5267
2000-12-12,1.528
2000-12-13,1.5216
2000-12-14,1.5173
2000-12-15,1.5202
2000-12-18,1.5258
2000-12-19,1.5232
2000-12-20,1.5218
2000-12-21,1.52
2000-12-22,1.5174
2000-12-25,1.5183
2000-12-26,1.5096
2000-12-27,1.5116
2000-12-28,1.4999
2000-12-29,1.4983
2001-01-02,1.4914
2001-01-03,1.4982
2001-01-04,1.4977
2001-01-05,1.499
2001-01-08,1.4935
2001-01-09,1.4934
2001-01-10,1.5015
2001-01-11,1.4937
2001-01-12,1.4996
2001-01-15,1.5006
2001-01-16,1.5061
2001-01-17,1.511
2001-01-18,1.5122
2001-01-19,1.512
2001-01-22,1.5026
2001-01-23,1.5104
2001-01-24,1.5122
2001-01-25,1.5072
2001-01-26,1.5043
2001-01-29,1.5005
2001-01-30,1.5018
2001-01-31,1.4979
2001-02-01,1.4932
2001-02-02,1.4952
2001-02-05,1.5068
2001-02-06,1.5108
2001-02-07,1.5095
2001-02-08,1.51
2001-02-09,1.5102
2001-02-12,1.5212
2001-02-13,1.5212
2001-02-14,1.5278
2001-02-15,1.5288
2001-02-16,1.5395
2001-02-19,1.5342
2001-02-20,1.5394
2001-02-21,1.5359
2001-02-22,1.5386
2001-02-23,1.5369
2001-02-26,1.528
2001-02-27,1.5295
2001-02-28,1.5356
2001-03-01,1.5471
2001-03-02,1.544
2001-03-05,1.547
2001-03-06,1.5372
2001-03-07,1.5494
2001-03-08,1.5452
2001-03-09,1.5468
2001-03-12,1.5512
2001-03-13,1.5435
2001-03-14,1.5572
2001-03-15,1.5593
2001-03-16,1.5684
2001-03-19,1.5656
2001-03-20,1.5648
2001-03-21,1.5748
2001-03-22,1.571
2001-03-23,1.5642
2001-03-26,1.5564
2001-03-27,1.5674
2001-03-28,1.564
2001-03-29,1.5733
2001-03-30,1.5759
2001-04-02,1.5808
2001-04-03,1.5762
2001-04-04,1.5731
2001-04-05,1.5733
2001-04-06,1.5642
2001-04-09,1.5642
2001-04-10,1.5553
2001-04-11,1.5622
2001-04-12,1.562
2001-04-13,1.5608
2001-04-16,1.5616
2001-04-17,1.5642
2001-04-18,1.5637
2001-04-19,1.5479
2001-04-20,1.5444
2001-04-23,1.548
2001-04-24,1.5452
2001-04-25,1.548
2001-04-26,1.5422
2001-04-27,1.5418
2001-04-30,1.5348
2001-05-01,1.5322
2001-05-02,1.5311
2001-05-03,1.5325
2001-05-04,1.5348
2001-05-07,1.5417
2001-05-08,1.5417
2001-05-09,1.5384
