Date,Spot,USD_1M,USD_3M,CAD_1M,CAD_3M,Forward_1M,Forward_3M,Forward_1M_Dev_Pct,Forward_3M_Dev_Pct
2021-10-20,1.2319,0.0006,0.0005,0.0016,0.0012,1.2317973553526196,1.2316844821553532,-0.008332222370355247,-0.017494751574542722
2021-10-21,1.2364,0.0006,0.0006,0.0016,0.0012,1.2362969804026132,1.2362145956213137,-0.008332222370333042,-0.014995501349579499
2021-10-22,1.2367,0.0005,0.0006,0.0016,0.0012,1.2365866509465404,1.2365145506348096,-0.00916544460738411,-0.014995501349579499
2021-10-25,1.2381,0.0007000000000000001,0.0006,0.0016,0.0012,1.2380071548793492,1.2379143406977908,-0.007499000133326383,-0.014995501349579499
2021-10-26,1.2388,0.0006,0.0006,0.0016,0.0012,1.2386967804292761,1.2386142357292813,-0.008332222370344144,-0.014995501349579499
2021-10-27,1.2356,0.0006,0.0006,0.0016,0.0013,1.2354970470603923,1.2353838402519184,-0.00833222237032194,-0.017494314347821227
2021-10-28,1.2342,0.0006,0.0006,0.0016,0.0013,1.2340971637115052,1.2339840851723192,-0.008332222370344144,-0.017494314347821227
2021-10-29,1.2387,0.0006,0.0005,0.0016,0.0013,1.2385967887614986,1.238452340489341,-0.008332222370333042,-0.019993502111803618
2021-11-01,1.2367,0.0005,0.0005,0.0016,0.0013,1.2365866509465404,1.2364527403593832,-0.00916544460738411,-0.019993502111803618
2021-11-02,1.2409,0.0005,0.0005,0.0016,0.0013,1.240786265997867,1.2406519006322945,-0.009165444607373008,-0.019993502111803618
2021-11-03,1.2389,0.0005,0.0005,0.0019,0.0014000000000000002,1.23875548454828,1.2386213450292394,-0.011664819736856291,-0.022492127755313618
2021-11-04,1.2455,0.0005,0.0004,0.0019,0.0014000000000000002,1.2453547146701773,1.2451887339431198,-0.011664819736867393,-0.024991253061446006
2021-11-05,1.2454,0.0005,0.0005,0.0019,0.0014000000000000002,1.2452547263349971,1.2451198830409356,-0.011664819736867393,-0.022492127755302516
2021-11-08,1.2441,0.0004,0.0006,0.0019,0.0014000000000000002,1.2439445121189145,1.2438512670565303,-0.012498021146645222,-0.01999300244913682
2021-11-09,1.2436,0.0004,0.0004,0.0019,0.0014000000000000002,1.2434445746090204,1.243289208776928,-0.012498021146645222,-0.024991253061434904
2021-11-10,1.2489,0.0006,0.0005,0.0015,0.0013,1.2488063442069743,1.2486503011521253,-0.007499062617144503,-0.019993502111825823
2021-11-11,1.2577,0.0006,0.0005,0.0015,0.0013,1.257605684289464,1.2574485417239398,-0.007499062617155605,-0.019993502111803618
