Date,Spot,USD_1M,USD_3M,CAD_1M,CAD_3M,Forward_1M,Forward_3M,Forward_1M_Dev_Pct,Forward_3M_Dev_Pct
2016-09-16,1.3207,0.002,0.003,0.0046,0.0049,1.3204139579827732,1.3200734350420733,-0.021658364293697385,-0.04744188369248947
2016-09-19,1.3202,0.0016,0.003,0.0046,0.0049,1.319870076470686,1.319573672251492,-0.02499042033888843,-0.04744188369247837
2016-09-20,1.3187,0.0017000000000000001,0.003,0.0046,0.0049,1.3183814362827582,1.3180743838797473,-0.024157406327585118,-0.04744188369247837
2016-09-21,1.3099,0.0012,0.0022,0.005,0.0053,1.3094853710953769,1.3088861708236588,-0.031653477717630274,-0.07739744838088924
2016-09-22,1.304,0.001,0.0018,0.005,0.0053,1.303565514369013,1.3028605098244825,-0.03331945022906346,-0.08738421591392154
2016-09-23,1.3167,0.0009,0.0018,0.005,0.0053,1.3162503148688045,1.3155494120290616,-0.034152436484813364,-0.08738421591389933
2016-09-26,1.3222,0.0012,0.0025,0.005,0.0053,1.3217814777176176,1.3212756847177491,-0.031653477717630274,-0.06990737273112613
2016-09-27,1.3193,0.0016,0.0026,0.005,0.0053,1.3189263540191585,1.318410650887574,-0.028321532694719487,-0.06741068084787916
2016-09-28,1.3078,0.0014000000000000002,0.0027,0.0046,0.0051,1.3074513869683289,1.307016319193029,-0.02665644836146175,-0.059923597413291674
2016-09-29,1.3141,0.0012,0.0026,0.0046,0.0051,1.3137278143378373,1.3132797333399917,-0.02832247638404617,-0.062420413972175126
2016-09-30,1.3127,0.002,0.0029,0.0046,0.0051,1.3124156906519167,1.3119789343586927,-0.021658364293697385,-0.05492996429551367
2016-10-03,1.3117,0.0025,0.0032,0.0046,0.0051,1.3114705404594904,1.3110777358867445,-0.017493294237225232,-0.04743951461886331
2016-10-04,1.3191,0.0028000000000000004,0.0033,0.0046,0.0051,1.3189022108191857,1.318507160869891,-0.0149942522033375,-0.04494269805995765
2016-10-05,1.3175,0.0026,0.0032,0.0045000000000000005,0.0049,1.317291474030572,1.316940747584209,-0.015827398059053976,-0.0424480011985473
2016-10-06,1.3216,0.0026,0.0033,0.0045000000000000005,0.0049,1.3213908251072515,1.3210720067916804,-0.01582739805906508,-0.039951059951559564
2016-10-07,1.3296,0.0026,0.0033,0.0045000000000000005,0.0049,1.3293895589154066,1.329068810706884,-0.01582739805906508,-0.039951059951559564
2016-10-10,1.3173,0.0026,0.0033,0.0045000000000000005,0.0049,1.3170915056853678,1.3167737246872582,-0.01582739805906508,-0.03995105995154846
2016-10-11,1.326,0.0027,0.0034999999999999996,0.0045000000000000005,0.0049,1.3258011745595402,1.325536467826912,-0.014994377108590307,-0.0349571774576285
2016-10-12,1.3274,0.0026,0.0037,0.0048,0.0049,1.3271567406370786,1.3270022672226522,-0.018326002932145258,-0.029963294963664122
2016-10-13,1.3188,0.0026,0.003,0.0048,0.0049,1.3185583166733308,1.3181743364378635,-0.018326002932145258,-0.04744188369247837
2016-10-14,1.3138,0.0026,0.0032,0.0048,0.0049,1.3135592329734775,1.3132423181602537,-0.018326002932145258,-0.0424480011985362
2016-10-17,1.3123,0.0024,0.0034000000000000002,0.0048,0.0049,1.3120376449420232,1.3118084896002398,-0.019992003198721076,-0.03745411870458293
2016-10-18,1.3107,0.0026,0.0034000000000000002,0.0048,0.0049,1.3104598010795683,1.3102090888661388,-0.018326002932145258,-0.03745411870459403
2016-10-19,1.3113,0.0025,0.0034999999999999996,0.0046,0.0048,1.3110706104326673,1.3108743382940469,-0.01749329423721413,-0.03246104674392569
2016-10-20,1.3228,0.0025,0.0034999999999999996,0.0046,0.0048,1.3225685987038303,1.3223706052736715,-0.017493294237203028,-0.03246104674391459
2016-10-21,1.3331,0.0025,0.0034000000000000002,0.0046,0.0048,1.3328667968945236,1.3326339742309228,-0.01749329423721413,-0.034958050339595204
2016-10-24,1.3285,0.0023,0.0033,0.0046,0.0048,1.3282454684037783,1.32800240960847,-0.019159322259820755,-0.03745505393527582
2016-10-25,1.3349,0.0022,0.0034000000000000002,0.0046,0.0048,1.3346331223031171,1.3344333449860166,-0.01999233627109076,-0.034958050339606306
2016-10-26,1.3379,0.0025,0.0033,0.004699999999999999,0.0049,1.337654814364374,1.3373654947689082,-0.018326155589054594,-0.039951059951559564
2016-10-27,1.3385,0.0019,0.003,0.004699999999999999,0.0049,1.3381878056094698,1.3378649903867763,-0.02332419802243413,-0.04744188369246727
2016-10-28,1.3397,0.0018,0.003,0.004699999999999999,0.0049,1.3393763659233469,1.3390644210841718,-0.0241572050946548,-0.04744188369247837
2016-10-31,1.3408,0.002,0.0034000000000000002,0.004699999999999999,0.0049,1.3404984381117397,1.340297815176409,-0.022491190950202355,-0.03745411870458293
2016-11-01,1.3388,0.0024,0.0034999999999999996,0.004699999999999999,0.0049,1.3385434971302907,1.3383319933081974,-0.019159162661286366,-0.034957177457617394
2016-11-02,1.3388,0.0024,0.0037,0.0045000000000000005,0.004699999999999999,1.3385657978258154,1.3384656928109473,-0.01749343996000352,-0.02497065947510979
2016-11-03,1.3394,0.0024,0.0038,0.0045000000000000005,0.004699999999999999,1.3391656928651754,1.3390989886882914,-0.017493439960025725,-0.02247359352759437
2016-11-04,1.3402,0.0025,0.0038,0.0045000000000000005,0.004699999999999999,1.3399767170644343,1.3398988088995432,-0.01666041900952875,-0.022473593527605473
2016-11-07,1.3359,0.0028000000000000004,0.0040999999999999995,0.0045000000000000005,0.004699999999999999,1.335710818443084,1.3356998501760435,-0.014161356158104432,-0.014982395685048111
2016-11-08,1.3287,0.0028000000000000004,0.0043,0.0045000000000000005,0.004699999999999999,1.3285118380607273,1.3285672859390216,-0.014161356158104432,-0.009988263790050578
2016-11-09,1.3419,0.003,0.0045000000000000005,0.0044,0.0046,1.3417435023824602,1.3418664910353095,-0.011662390456801397,-0.0024971283024477486
2016-11-10,1.3468,0.003,0.0048,0.0044,0.0046,1.3466429309253276,1.346867262647955,-0.0116623904568125,0.004994256604917702
2016-11-11,1.354,0.003,0.0048,0.0044,0.0046,1.3538420912332148,1.3540676222344306,-0.011662390456823601,0.004994256604917702
2016-11-14,1.3554,0.0032,0.0055000000000000005,0.0044,0.0046,1.3552645096797842,1.3557046146931027,-0.009996334677275787,0.022474154722051942
2016-11-15,1.3447,0.003,0.0051,0.0044,0.0046,1.3445431758355273,1.3448678944214152,-0.0116623904568125,0.012485641512238743
2016-11-16,1.3442,0.0032,0.004699999999999999,0.0043,0.0049,1.3440768258040872,1.3441328722315162,-0.009163383121035817,-0.0049938824939643744
2016-11-17,1.352,0.003,0.0044,0.0043,0.0049,1.3518535857984226,1.3518312067717049,-0.010829452779392845,-0.012484706234849874
2016-11-18,1.3499,0.0028000000000000004,0.0044,0.0043,0.0049,1.3497313229426124,1.3497314689505358,-0.01249552243778318,-0.012484706234860976
2016-11-21,1.3417,0.0028000000000000004,0.0046,0.0043,0.0049,1.3415323475754521,1.3415994956178678,-0.01249552243778318,-0.007490823740929908
2016-11-22,1.3441,0.0034000000000000002,0.0049,0.0043,0.0049,1.3439992286097486,1.3441,-0.007497313462645483,0.0
2016-11-23,1.3486,0.0034999999999999996,0.0051,0.0045000000000000005,0.004699999999999999,1.3484876587946186,1.3487347017254725,-0.008330209504769925,0.009988263790039476
2016-11-24,1.3486,0.0034999999999999996,0.0051,0.0045000000000000005,0.004699999999999999,1.3484876587946186,1.3487347017254725,-0.008330209504769925,0.009988263790039476
2016-11-25,1.3528,0.0034000000000000002,0.0049,0.0045000000000000005,0.004699999999999999,1.3526760398184015,1.352867560616276,-0.009163230455244697,0.00499413189503084
2016-11-28,1.3407,0.0032,0.0048,0.0045000000000000005,0.004699999999999999,1.3405548119455204,1.3407334781631584,-0.010829272356205344,0.0024970659475265222
2016-11-29,1.3432,0.0034000000000000002,0.0048,0.0045000000000000005,0.004699999999999999,1.3430769194885253,1.343233540589807,-0.009163230455233595,0.0024970659475265222
2016-11-30,1.3433,0.0038,0.0048,0.004699999999999999,0.0051,1.3431992919439888,1.3431993807894937,-0.007497063650052649,-0.0074904496766281525
2016-12-01,1.3313,0.0032,0.0048,0.004699999999999999,0.0051,1.3311336526527109,1.3312002796434548,-0.012495106083454388,-0.007490449676639255
2016-12-02,1.3292,0.0034000000000000002,0.0049,0.004699999999999999,0.0051,1.3290560597099472,1.3291336246285987,-0.010829091938968638,-0.004993633117755802
2016-12-05,1.3266,0.0034000000000000002,0.0049,0.004699999999999999,0.0051,1.3264563412663375,1.3265337544630598,-0.01082909193897974,-0.004993633117766905
2016-12-06,1.3275,0.0034999999999999996,0.0049,0.004699999999999999,0.0051,1.3273673019733936,1.3274337095203617,-0.009996084866770172,-0.004993633117755802
2016-12-07,1.3228,0.0038,0.0052,0.0042,0.0046,1.3227559220939338,1.3229981920791092,-0.0033321670748542864,0.0149827698147309
2016-12-08,1.3189,0.0039000000000000003,0.0051,0.0042,0.0046,1.318867039036337,1.3190646731259053,-0.0024991253061545926,0.012485641512260948
2016-12-09,1.3175,0.0040999999999999995,0.0054,0.0042,0.0046,1.3174890246746969,1.3177631973230783,-0.0008330417687330005,0.019977026419626398
2016-12-12,1.3129,0.0042,0.0051,0.0042,0.0046,1.3129,1.3130639239874142,0.0,0.012485641512238743
2016-12-13,1.3127,0.004699999999999999,0.0054,0.0042,0.0046,1.3127546766964893,1.3129622384258102,0.004165208843542878,0.019977026419604194
2016-12-14,1.3279,0.0049,0.0055000000000000005,0.0043,0.0049,1.327966371216981,1.328098941296911,0.004998208975126595,0.014981647481815408
2016-12-15,1.3334,0.0048,0.0051,0.0043,0.0049,1.3334555384320619,1.333466588429174,0.0041651741459425295,0.004993882493931068
2016-12-16,1.3331,0.0046,0.0051,0.0043,0.0049,1.3331333155619238,1.3331665734475264,0.0024991044875743995,0.004993882493931068
2016-12-19,1.3407,0.0045000000000000005,0.0052,0.0043,0.0049,1.34072233699591,1.3408004294738947,0.0016660696583903345,0.0074908237409410106
2016-12-20,1.3367,0.0048,0.0052,0.0043,0.0049,1.3367556758828087,1.3368001298409449,0.0041651741459425295,0.007490823740918806
2016-12-21,1.3411,0.0046,0.0052,0.0042,0.0048,1.341144687692641,1.341233949260887,0.0033321670748653887,0.009988014382744659
2016-12-22,1.3482,0.0042,0.0051,0.0042,0.0048,1.3482,1.3483009938074308,0.0,0.0074910107870307385
2016-12-23,1.3534,0.0042,0.0052,0.0042,0.0048,1.3534,1.353535177786656,0.0,0.009988014382744659
2016-12-26,1.3507,0.0042,0.0052,0.0042,0.0048,1.3507,1.3508349081102677,0.0,0.009988014382744659
2016-12-27,1.3573,0.005,0.0051,0.0042,0.0048,1.357390455007414,1.3574016754894125,0.006664334149708573,0.007491010787052943
2016-12-28,1.3558,0.0048,0.0053,0.0042,0.0048,1.355867766281801,1.3559692718737513,0.004998250612264776,0.01248501797841417
2016-12-29,1.35,0.0039000000000000003,0.004699999999999999,0.0042,0.0048,1.349966261808367,1.3499662904514582,-0.0024991253061545926,-0.002497003595691716
2016-12-30,1.343,0.0044,0.0051,0.0042,0.0048,1.3430223755019075,1.3431006042748699,0.001666083537421592,0.0074910107870307385
2017-01-02,1.3437,0.0044,0.0051,0.0042,0.0048,1.343722387164492,1.3438006567119454,0.001666083537421592,0.0074910107870307385
2017-01-03,1.3427,0.0052,0.0053,0.0042,0.0048,1.342811852518285,1.342867636336396,0.008330417687130165,0.01248501797841417
2017-01-04,1.33,0.0049,0.0053,0.0039000000000000003,0.0045000000000000005,1.3301107973242032,1.330265701086278,0.008330625879926501,0.01997752528404284
2017-01-05,1.3223,0.0051,0.0052,0.0039000000000000003,0.0045000000000000005,1.3224321870392122,1.3225311424647272,0.00999675105590736,0.017480334623543037
2017-01-06,1.3235,0.005,0.0053,0.0039000000000000003,0.0045000000000000005,1.323621281416873,1.3237644025471342,0.009163688467950237,0.01997752528404284
2017-01-09,1.3214,0.005,0.005,0.0039000000000000003,0.0045000000000000005,1.3215210889794151,1.3215649893869394,0.009163688467928033,0.012485953302521224
2017-01-10,1.323,0.0051,0.0052,0.0039000000000000003,0.0045000000000000005,1.3231322570164696,1.3232312648270697,0.00999675105590736,0.01748033462356524
2017-01-11,1.3177,0.0051,0.0052,0.004,0.004699999999999999,1.3178207489170275,1.317864519189952,0.009163612129281518,0.012485329737565998
2017-01-12,1.3143,0.0052,0.0052,0.004,0.004699999999999999,1.3144313862045984,1.314464094688741,0.00999666777741215,0.012485329737565998
2017-01-13,1.3111,0.0052,0.0053,0.004,0.004699999999999999,1.3112310663112297,1.311296434189827,0.00999666777741215,0.014982395685070315
2017-01-16,1.3173,0.0052,0.0053,0.004,0.004699999999999999,1.3174316861046318,1.3174973630983595,0.00999666777741215,0.01498239568509252
2017-01-17,1.3041,0.0052,0.0055000000000000005,0.004,0.004699999999999999,1.3042303665444852,1.3043605138961718,0.00999666777741215,0.01997652758007895
2017-01-18,1.3269,0.0048,0.0053,0.0040999999999999995,0.0043,1.3269773760631782,1.327231368778563,0.005831340958484255,0.024973153859608743
2017-01-19,1.3318,0.004699999999999999,0.0052,0.0040999999999999995,0.0043,1.3318665672561874,1.3320993332167923,0.004998292250135705,0.02247583847365675
2017-01-20,1.3321,0.0046,0.005,0.0040999999999999995,0.0043,1.3321554852092203,1.3323328671677948,0.004165243541787156,0.01748120770173056
2017-01-23,1.3237,0.0046,0.0051,0.0040999999999999995,0.0043,1.3237551353287627,1.3239644557101116,0.004165243541787156,0.01997852308766035
2017-01-24,1.3157,0.005,0.0051,0.0040999999999999995,0.0043,1.315798643796703,1.3159628574282647,0.007497438375225762,0.019978523087682554
2017-01-25,1.3069,0.0048,0.005,0.0042,0.0045000000000000005,1.3069653221372517,1.3070631789237106,0.004998250612264776,0.012485953302521224
2017-01-26,1.3088,0.0049,0.0051,0.0042,0.0045000000000000005,1.3088763199546825,1.308996099388188,0.005831292380986675,0.014983143963021028
2017-01-27,1.315,0.0049,0.0052,0.0042,0.0045000000000000005,1.31507668149481,1.3152298664002995,0.005831292380986675,0.017480334623543037
2017-01-30,1.3116,0.0049,0.0051,0.0042,0.0045000000000000005,1.3116764832308692,1.3117965189162193,0.005831292380986675,0.014983143963043233
2017-01-31,1.3028,0.005,0.0052,0.0042,0.0045000000000000005,1.3028868229453026,1.3030277337994756,0.006664334149730777,0.017480334623543037
2017-02-01,1.3048,0.005,0.0051,0.0046,0.004699999999999999,1.3048434766672774,1.3049303268659325,0.003332056045168841,0.009988263790039476
2017-02-02,1.3025,0.005,0.0052,0.0046,0.004699999999999999,1.3025434000299885,1.302662621419832,0.0033320560451910453,0.012485329737588202
2017-02-03,1.3022,0.0049,0.0051,0.0046,0.004699999999999999,1.3022325425253651,1.302330067171074,0.0024990420338655284,0.009988263790039476
2017-02-06,1.308,0.0048,0.0053,0.0046,0.004699999999999999,1.3080217916465353,1.308195969735561,0.0016660280225844204,0.01498239568509252
2017-02-07,1.3181,0.0051,0.0053,0.0046,0.004699999999999999,1.3181548997884143,1.3182974829575251,0.004165070056472153,0.01498239568509252
2017-02-08,1.3143,0.0052,0.0054,0.0040999999999999995,0.0046,1.3144204363509133,1.314562558058233,0.009163535791922861,0.019977026419604194
2017-02-09,1.3143,0.0051,0.0054,0.0040999999999999995,0.0046,1.3144094875917394,1.314562558058233,0.008330487083574312,0.019977026419604194
2017-02-10,1.3078,0.0051,0.0055000000000000005,0.0040999999999999995,0.0046,1.3079089461100788,1.3080939169954553,0.008330487083552107,0.022474154722074147
2017-02-13,1.307,0.005,0.0052,0.0040999999999999995,0.0046,1.3070979915195642,1.3071958248014783,0.007497438375225762,0.0149827698147309
2017-02-14,1.3075,0.0051,0.0054,0.0040999999999999995,0.0046,1.3076089211186177,1.3077611996204366,0.008330487083574312,0.019977026419604194
2017-02-15,1.3077,0.0053,0.0054,0.0044,0.0046,1.3077980415514312,1.3079612395744895,0.007497251007970718,0.019977026419626398
2017-02-16,1.307,0.0051,0.0053,0.0044,0.0046,1.3070762137216352,1.3072284622683914,0.005831195228411801,0.01747989811717865
2017-02-17,1.3097,0.005,0.0053,0.0044,0.0046,1.3097654609976344,1.3099289342256408,0.004998167338654547,0.01747989811717865
2017-02-20,1.3103,0.005,0.0053,0.0044,0.0046,1.3103654909866382,1.3105290391050293,0.004998167338632342,0.01747989811717865
2017-02-21,1.3139,0.0049,0.0053,0.0044,0.0046,1.3139547257672188,1.3141296683813615,0.004165139448875088,0.017479898117156445
2017-02-22,1.3162,0.004699999999999999,0.0052,0.0043,0.004699999999999999,1.3162438576176871,1.316364331910006,0.0033321393167584645,0.012485329737565998
2017-02-23,1.3103,0.0039000000000000003,0.0051,0.0043,0.004699999999999999,1.3102563389785327,1.310430876220441,-0.0033321393167473623,0.00998826379006168
2017-02-24,1.309,0.004,0.0052,0.0043,0.004699999999999999,1.308967286722258,1.309163432966265,-0.002499104487552195,0.012485329737588202
2017-02-27,1.318,0.0044,0.005,0.0043,0.004699999999999999,1.3180109793990487,1.3180987339875647,0.000833034829184065,0.007491197842535158
2017-02-28,1.3299,0.004,0.0053,0.0043,0.004699999999999999,1.3298667644094202,1.3300992508802159,-0.002499104487552195,0.014982395685070315
2017-03-01,1.3325,0.0046,0.0063,0.0046,0.0048,1.3325,1.3329990885936878,0.0,0.03745505393528692
2017-03-02,1.3389,0.0052,0.0067,0.0046,0.0048,1.3389669193475833,1.33953521524171,0.004998084067753261,0.047443068318009374
2017-03-03,1.3375,0.005600000000000001,0.0070999999999999995,0.0046,0.0048,1.3376114156240106,1.3382681407311225,0.008330140112944306,0.05743108270075403
2017-03-06,1.3409,0.005600000000000001,0.0074,0.0046,0.0048,1.3410116988487746,1.3417705403515778,0.008330140112944306,0.06492209348778477
2017-03-07,1.3413,0.0055000000000000005,0.0076,0.0046,0.0048,1.3414005589524014,1.3422377846584097,0.0074971261016631985,0.0699161006791682
2017-03-08,1.3491,0.0054,0.0073,0.0039000000000000003,0.0048,1.3492685827106192,1.3499421768877344,0.012495938819889751,0.06242508989211526
2017-03-09,1.3508,0.005,0.0073,0.0039000000000000003,0.0048,1.3509237831038248,1.3516432381142627,0.009163688467928033,0.06242508989211526
2017-03-10,1.3469,0.006,0.0075,0.0039000000000000003,0.0048,1.347135630919951,1.3478080678186177,0.01749431434783233,0.06741909708349869
2017-03-13,1.3444,0.0069,0.0079,0.0039000000000000003,0.0048,1.3447359908029892,1.3454406612065521,0.024991877639779503,0.07740711146624335
2017-03-14,1.3478,0.0077,0.0078000000000000005,0.0039000000000000003,0.0048,1.3482266646673167,1.3488096384338792,0.03165637834370294,0.07491010787052943
2017-03-15,1.3302,0.0070999999999999995,0.0073,0.0044,0.005,1.330499185298724,1.3309639101123596,0.022491753023912153,0.05742821473158077
2017-03-16,1.3317,0.0068000000000000005,0.0073,0.0044,0.005,1.331966242377795,1.3324647715355806,0.019992669354573778,0.05742821473158077
2017-03-17,1.3348,0.0070999999999999995,0.0073,0.0044,0.005,1.3351002199193631,1.3355665518102373,0.022491753023912153,0.05742821473160298
2017-03-20,1.3347,0.006999999999999999,0.0076,0.0044,0.005,1.334989079004365,1.3355664719101126,0.02165872513411049,0.06491885143571352
2017-03-21,1.335,0.0076,0.0077,0.0044,0.005,1.3353558695145111,1.3358999999999999,0.026656892472742832,0.0674157303370615
2017-03-22,1.3326,0.0074,0.0077,0.0044,0.0049,1.332933027889774,1.3335316786936002,0.024990836693228324,0.06991435491521258
2017-03-23,1.3349,0.0073,0.0076,0.0044,0.0049,1.3352224825897172,1.3357999550550574,0.024157808803448866,0.06741741366824705
2017-03-24,1.3377,0.0073,0.0078000000000000005,0.0044,0.0049,1.3380231590083635,1.3386686459087616,0.024157808803448866,0.07241129616220032
2017-03-27,1.3375,0.0073,0.0078000000000000005,0.0044,0.0049,1.3378231106927458,1.3384685010861692,0.02415780880342666,0.07241129616220032
2017-03-28,1.3382,0.0075,0.0078000000000000005,0.0044,0.0049,1.33854557495585,1.3391690079652423,0.025823864583007783,0.07241129616217812
2017-03-29,1.3325,0.0076,0.0078000000000000005,0.0048,0.0054,1.3328107923497268,1.3332984221301243,0.023324003731839404,0.05991910920257748
