Contract_ID,Contract_Date,Close_Date,Start_Spot,End_Spot,Contract_Forward,Contract_Forward_TC,Exposure,Hedged_Exposure,Fee,Partial_Hedged,Partial_Hedged_TC,Full_Hedged,Full_Hedged_TC,Unhedged,Spot_Change,Cum_Partial_Hedged,Cum_Partial_Hedged_TC,Cum_Full_Hedged,Cum_Full_Hedged_TC,Cum_Unhedged,Year
1,2008-01-01,2008-04-01,0.992,1.0223,0.9907718516317536,0.9906718516317536,800000.0,400000.0,80.0,11628.740652701454,11508.740652701457,-982.5186945970898,-1222.518694597081,24239.999999999996,0.030299999999999994,11628.740652701454,11508.740652701457,-982.5186945970898,-1222.518694597081,24239.999999999996,2008
2,2008-02-01,2008-05-01,0.9926,1.0206,0.9893767135172654,0.9892767135172654,800000.0,400000.0,80.0,9910.685406906117,9790.685406906121,-2578.6291861876975,-2818.629186187689,22399.99999999993,0.027999999999999914,21539.42605960757,21299.426059607576,-3561.1478807847875,-4041.1478807847698,46639.99999999993,2008
3,2008-03-03,2008-06-02,0.9891,1.0014,0.985322562245809,0.9852225622458091,800000.0,400000.0,80.0,3409.024898323665,3289.0248983236693,-3021.950203352741,-3261.9502033527324,9840.000000000071,0.012300000000000089,24948.450957931236,24588.450957931247,-6583.0980841375285,-7303.098084137502,56480.0,2008
4,2008-04-01,2008-07-01,1.0223,1.0222,1.021485661654884,1.021385661654884,800000.0,400000.0,80.0,-365.7353380464024,-485.73533804639794,-651.4706760928135,-891.4706760928048,-79.99999999999119,-9.999999999998899e-05,24582.715619884835,24102.71561988485,-7234.568760230342,-8194.568760230308,56400.00000000001,2008
5,2008-05-01,2008-08-01,1.0206,1.0269,1.017482541968809,1.017382541968809,800000.0,400000.0,80.0,1273.0167875235845,1153.0167875235888,-2493.966424952809,-2733.9664249528005,5039.999999999978,0.006299999999999972,25855.73240740842,25255.73240740844,-9728.535185183151,-10928.535185183107,61439.999999999985,2008
6,2008-06-02,2008-09-01,1.0014,1.0667,0.9993359243071424,0.9992359243071424,800000.0,400000.0,80.0,25294.36972285688,25174.369722856885,-1651.2605542861713,-1891.2605542861625,52239.999999999935,0.06529999999999991,51150.1021302653,50430.102130265324,-11379.795739469322,-12819.79573946927,113679.99999999991,2008
7,2008-07-01,2008-10-01,1.0222,1.0616,1.0203465325385,1.0202465325385,800000.0,400000.0,80.0,15018.613015400017,14898.613015400022,-1482.7739692000464,-1722.7739692000375,31520.00000000008,0.0394000000000001,66168.71514566532,65328.715145665345,-12862.569708669369,-14542.569708669307,145200.0,2008
8,2008-08-01,2008-11-03,1.0269,1.1815,1.024986093784946,1.024886093784946,800000.0,400000.0,80.0,61074.43751397845,60954.43751397846,-1531.124972043152,-1771.124972043143,123680.00000000006,0.15460000000000007,127243.15265964378,126283.1526596438,-14393.69468071252,-16313.69468071245,268880.00000000006,2008
9,2008-09-01,2008-12-01,1.0667,1.2437,1.064844500770339,1.064744500770339,800000.0,400000.0,80.0,70057.80030813566,69937.80030813566,-1484.3993837287073,-1724.3993837286985,141600.00000000003,0.17700000000000005,197300.95296777942,196220.95296777948,-15878.094064441228,-18038.09406444115,410480.0000000001,2008
10,2008-10-01,2009-01-01,1.0616,1.2204,1.0594063931487752,1.0593063931487752,800000.0,400000.0,80.0,62642.55725950996,62522.557259509966,-1754.885480979951,-1994.885480979942,127039.99999999987,0.15879999999999983,259943.51022728937,258743.51022728946,-17632.979545421178,-20032.97954542109,537520.0,2008
11,2008-11-03,2009-02-02,1.1815,1.2423,1.1771205905766458,1.1770205905766458,800000.0,400000.0,80.0,22568.236230658287,22448.236230658295,-3503.5275386833932,-3743.527538683384,48639.99999999997,0.060799999999999965,282511.74645794765,281191.74645794777,-21136.50708410457,-23776.507084104476,586160.0,2008
12,2008-12-01,2009-03-02,1.2437,1.2905,1.2386533706746328,1.2385533706746328,800000.0,400000.0,80.0,16701.34826985308,16581.348269853082,-4037.3034602938064,-4277.303460293798,37439.99999999996,0.04679999999999995,299213.09472780075,297773.09472780087,-25173.810544398377,-28053.810544398275,623600.0,2008
13,2009-01-01,2009-04-01,1.2204,1.26,1.2182078287553326,1.2181078287553326,800000.0,400000.0,80.0,14963.13150213311,14843.131502133114,-1753.7369957338456,-1993.7369957338367,31680.000000000065,0.03960000000000008,314176.22622993385,312616.22622993396,-26927.547540132222,-30047.547540132113,655280.0000000001,2009
14,2009-02-02,2009-05-01,1.2423,1.1851,1.240564381408577,1.240464381408577,800000.0,400000.0,80.0,-23574.247436569174,-23694.24743656917,-1388.494873138413,-1628.494873138404,-45759.999999999935,-0.05719999999999992,290601.97879336466,288921.9787933648,-28316.042413270636,-31676.042413270516,609520.0000000002,2009
15,2009-03-02,2009-06-01,1.2905,1.0907,1.2892438665235728,1.2891438665235728,800000.0,400000.0,80.0,-80422.45339057085,-80542.45339057085,-1004.9067811417344,-1244.9067811417258,-159839.99999999997,-0.19979999999999998,210179.5254027938,208379.52540279392,-29320.94919441237,-32920.94919441224,449680.00000000023,2009
16,2009-04-01,2009-07-01,1.26,1.1483,1.2594650216039365,1.2593650216039365,800000.0,400000.0,80.0,-44893.99135842538,-45013.99135842537,-427.98271685082767,-667.9827168508189,-89359.99999999993,-0.11169999999999991,165285.53404436843,163365.53404436854,-29748.931911263197,-33588.93191126306,360320.0000000003,2009
17,2009-05-01,2009-08-03,1.1851,1.0657,1.1849223327170055,1.1848223327170055,800000.0,400000.0,80.0,-47831.066913197785,-47951.06691319778,-142.13382639560734,-382.13382639559853,-95519.99999999996,-0.11939999999999995,117454.46713117065,115414.46713117076,-29891.065737658802,-33971.06573765866,264800.00000000035,2009
18,2009-06-01,2009-09-01,1.0907,1.1035,1.0905092228885558,1.0904092228885558,800000.0,400000.0,80.0,5043.689155422282,4923.689155422287,-152.62168915537444,-392.62168915536563,10239.999999999938,0.012799999999999923,122498.15628659293,120338.15628659305,-30043.687426814176,-34363.687426814024,275040.0000000003,2009
19,2009-07-01,2009-10-01,1.1483,1.0836,1.1480991679992003,1.1479991679992003,800000.0,400000.0,80.0,-25960.332800319997,-26080.33280031999,-160.66560063983104,-400.66560063982223,-51760.00000000016,-0.0647000000000002,96537.82348627293,94257.82348627306,-30204.353027454006,-34764.35302745384,223280.00000000012,2009
20,2009-08-03,2009-11-02,1.0657,1.0778,1.0655934912425356,1.0654934912425356,800000.0,400000.0,80.0,4797.396497014183,4677.396497014188,-85.20700597163255,-325.20700597162374,9680.0,0.0121,101335.21998328711,98935.21998328724,-30289.560033425638,-35089.56003342546,232960.00000000012,2009
21,2009-09-01,2009-12-01,1.1035,1.0465,1.1033069888308638,1.1032069888308638,800000.0,400000.0,80.0,-22877.204467654443,-22997.20446765444,-154.40893530893618,-394.40893530892737,-45599.99999999995,-0.05699999999999994,78458.01551563267,75938.01551563281,-30443.968968734574,-35483.96896873439,187360.00000000017,2009
22,2009-10-01,2010-01-01,1.0836,1.0517,1.0832750986957174,1.0831750986957174,800000.0,400000.0,80.0,-12889.96052171294,-13009.960521712936,-259.92104342602573,-499.9210434260169,-25519.999999999854,-0.03189999999999982,65568.05499391972,62928.054993919875,-30703.8900121606,-35983.89001216041,161840.00000000032,2009
23,2009-11-02,2010-02-01,1.0778,1.0616,1.0773691169856578,1.0772691169856579,800000.0,400000.0,80.0,-6652.353205736894,-6772.35320573689,-344.7064114737941,-584.7064114737852,-12959.999999999995,-0.016199999999999992,58915.70178818283,56155.70178818298,-31048.596423634393,-36568.5964236342,148880.00000000032,2009
24,2009-12-01,2010-03-01,1.0465,1.0418,1.0460816301034432,1.0459816301034432,800000.0,400000.0,80.0,-2047.3479586226695,-2167.3479586226654,-334.6959172453978,-574.695917245389,-3759.9999999999413,-0.0046999999999999265,56868.35382956016,53988.353829560314,-31383.29234087979,-37143.29234087958,145120.00000000038,2009
25,2010-01-01,2010-04-01,1.0517,1.0084,1.051358359779105,1.051258359779105,800000.0,400000.0,80.0,-17456.656088358093,-17576.656088358086,-273.31217671608954,-513.3121767160808,-34640.000000000095,-0.043300000000000116,39411.697741202064,36411.697741202224,-31656.60451759588,-37656.60451759566,110480.00000000029,2010
26,2010-02-01,2010-05-03,1.0616,1.0106,1.0614408236705322,1.0613408236705322,800000.0,400000.0,80.0,-20463.670531787237,-20583.670531787233,-127.34106357434882,-367.34106357434,-40800.000000000124,-0.051000000000000156,18948.027209414828,15828.027209414991,-31783.94558117023,-38023.94558117,69680.00000000017,2010
27,2010-03-01,2010-06-01,1.0418,1.0549,1.0417218962415034,1.0416218962415034,800000.0,400000.0,80.0,5208.758496601273,5088.758496601277,-62.48300679736474,-302.4830067973559,10479.99999999991,0.01309999999999989,24156.7857060161,20916.785706016268,-31846.42858796759,-38326.428587967355,80160.00000000009,2010
28,2010-04-01,2010-07-01,1.0084,1.0588,1.0080976916158688,1.0079976916158688,800000.0,400000.0,80.0,20039.07664634754,19919.076646347545,-241.84670730491575,-481.84670730490694,40320.0,0.0504,44195.86235236364,40835.86235236381,-32088.275295272506,-38808.275295272266,120480.00000000009,2010
